Date,Price,sma,diff,threshold,signal,change,pnl
2/1/2022,47311.80,54276.447,-0.13,0.06,0,-0.008927898,0
3/1/2022,46430.20,54026.74,-0.14,0.06,0,-0.018633829,0
4/1/2022,45837.30,53774.457,-0.15,0.06,0,-0.012769706,0
5/1/2022,43425.90,53473.49,-0.19,0.06,0,-0.052607811,0
6/1/2022,43097.50,53137.228,-0.19,0.06,0,-0.007562307,0
7/1/2022,41546.70,52704.208,-0.21,0.06,0,-0.035983526,0
8/1/2022,41672.00,52283.668,-0.20,0.06,0,0.003015883,0
9/1/2022,41848.30,51898.93,-0.19,0.06,0,0.004230658,0
10/1/2022,41832.20,51516.022,-0.19,0.06,0,-0.000384723,0
11/1/2022,42733.20,51159.333,-0.16,0.06,0,0.021538432,0
12/1/2022,43901.00,50817.707,-0.14,0.06,0,0.027327698,0
01/13/2022,42560.00,50435.237,-0.16,0.06,0,-0.030546001,0
01/14/2022,43073.30,50093.16,-0.14,0.06,0,0.01206062,0
01/15/2022,43097.00,49809.958,-0.13,0.06,0,0.000550225,0
01/16/2022,43079.10,49521.813,-0.13,0.06,0,-0.000415342,0
01/17/2022,42209.30,49276.047,-0.14,0.06,0,-0.020190765,0
01/18/2022,42364.60,49014.067,-0.14,0.06,0,0.003679284,0
01/19/2022,41677.80,48713.403,-0.14,0.06,0,-0.016211648,0
01/20/2022,40715.90,48413.43,-0.16,0.06,0,-0.023079433,0
01/21/2022,36475.50,48082.875,-0.24,0.06,0,-0.104146046,0
01/22/2022,35075.20,47707.908,-0.26,0.06,0,-0.038390152,0
01/23/2022,36269.50,47359.538,-0.23,0.06,0,0.034049699,0
01/24/2022,36686.30,46988.725,-0.22,0.06,0,0.011491749,0
01/25/2022,36950.60,46709.053,-0.21,0.06,0,0.007204324,0
01/26/2022,36800.40,46409.628,-0.21,0.06,0,-0.004064887,0
01/27/2022,37164.30,46074.175,-0.19,0.06,0,0.009888479,0
01/28/2022,37745.10,45740.013,-0.17,0.06,0,0.015627901,0
01/29/2022,38170.80,45428.145,-0.16,0.06,0,0.011278285,0
01/30/2022,37917.70,45106.602,-0.16,0.06,0,-0.006630723,0
01/31/2022,38498.60,44806.645,-0.14,0.06,0,0.015320022,0
1/2/2022,38709.70,44557.948,-0.13,0.06,0,0.005483316,0
2/2/2022,36890.20,44352.865,-0.17,0.06,0,-0.047003723,0
3/2/2022,37287.80,44150.903,-0.16,0.06,0,0.01077793,0
4/2/2022,41567.60,44000.995,-0.06,0.06,0,0.114777488,0
5/2/2022,41412.10,43847.943,-0.06,0.06,0,-0.003740894,0
6/2/2022,42392.20,43713.248,-0.03,0.06,0,0.023666996,0
7/2/2022,43833.90,43650.537,0.00,0.06,0,0.034008615,0
8/2/2022,44038.20,43598.887,0.01,0.06,0,0.004660776,0
9/2/2022,44388.90,43516.793,0.02,0.06,0,0.007963541,0
10/2/2022,43521.00,43407.46,0.00,0.06,0,-0.019552185,0
11/2/2022,42388.40,43335.54,-0.02,0.06,0,-0.026024218,0
12/2/2022,42205.20,43232.852,-0.02,0.06,0,-0.004321937,0
02/13/2022,42061.10,43119.345,-0.02,0.06,0,-0.003414271,0
02/14/2022,42550.30,43034.713,-0.01,0.06,0,0.011630699,0
02/15/2022,44544.40,43007.583,0.04,0.06,0,0.046864534,0
02/16/2022,43883.60,42958.04,0.02,0.06,0,-0.014834637,0
02/17/2022,40552.80,42855.512,-0.05,0.06,0,-0.075900792,0
02/18/2022,40000.10,42740.593,-0.06,0.06,0,-0.013629145,0
02/19/2022,40090.30,42593.732,-0.06,0.06,0,0.002254994,0
02/20/2022,38355.00,42422.987,-0.10,0.06,0,-0.043284785,0
02/21/2022,37017.70,42193.265,-0.12,0.06,0,-0.03486638,0
02/22/2022,38248.20,41984.3,-0.09,0.06,0,0.033240855,0
02/23/2022,37224.60,41764.603,-0.11,0.06,0,-0.026762044,0
02/24/2022,38339.20,41557.258,-0.08,0.06,0,0.029942565,0
02/25/2022,39209.60,41366.115,-0.05,0.06,0,0.022702612,0
02/26/2022,39115.50,41225.62,-0.05,0.06,0,-0.002399922,0
02/27/2022,37689.10,41079.41,-0.08,0.06,0,-0.036466362,0
02/28/2022,43188.20,41013.825,0.05,0.06,0,0.145906907,0
1/3/2022,44420.30,40983.838,0.08,0.06,1,0.028528626,0
2/3/2022,43912.80,40920.085,0.07,0.06,1,-0.011424957,-0.01142
3/3/2022,42463.00,40839.272,0.04,0.06,0,-0.033015431,-0.03302
4/3/2022,39142.70,40717.813,-0.04,0.06,0,-0.07819278,0
5/3/2022,39395.80,40610.455,-0.03,0.06,0,0.006466084,0
6/3/2022,38403.10,40526.742,-0.05,0.06,0,-0.025198118,0
